30, 15, 12
Robot, 1, 4, [4,4]
Robot, 3, 10, [1,2]
FastRobot, 2, 3, [11,11], 1.5
FastRobot, 4, 2, [1,1], 2
LimbedRobot, 5, 4, [12,5], 0.5, 3, 1
LimbedRobot, 6, 4, [2,9], 0.3, 5, 2     
Item, 1, apples, 12, 1, [3,3], 1
Item, 4, rubber duck, 1, 0, [2,11], 1
Item, 6, paperclip, 1, 0, [9,1], 1 
Item, 5, cat, 7, 2, [5,8], 2 
Item, 7, oranges, 20, 1, [9,3], 2
Item, 8, books, 15, 1, [7,10], 2
Item, 9, magazines, 2, 0, [5,5], 1
Item, 10, lights, 1, 0, [1,10], 1
Item, 11, bottles, 2, 0, [8,5], 1
Item, 12, papers, 3, 0, [13,3], 1
Item, 13, sticks, 1, 0, [14,8], 1
Item, 14, pens, 1, 0, [13,10], 1
Item, 15, balls, 3, 0, [11,8], 2
Item, 16, bins, 5, 2, [8, 9], 2
